name,url,description,duration,remote_support,adaptive_support,test_type
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.",Not Available,No,No,Knowledge & Skills
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",Not Available,No,No,Knowledge & Skills
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",Not Available,No,No,Knowledge & Skills
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",Not Available,No,No,Knowledge & Skills
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment,"The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.",Not Available,No,No,Personality & Behavior
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261,"The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.",Not Available,No,No,Personality & Behavior
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.",Not Available,No,No,Knowledge & Skills
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.",Not Available,No,No,Knowledge & Skills
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.
We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.
Exercises are available across a wide range of job levels and industry contexts.
Contact SHL to find out more.",Not Available,No,No,Assessment Exercises
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,Not Available,No,No,Simulations
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,Not Available,No,No,Simulations
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.

Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Not Available,No,No,Simulations
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end,"Simulation based test that measures the front-end development capabilities using HTML, CSS, and JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored.",30 minutes,No,No,Simulations
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.

Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Not Available,No,No,Simulations
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.

Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Not Available,No,No,Simulations
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium,A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,Not Available,No,No,Simulations
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",Not Available,No,No,Simulations
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new,"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client.",Not Available,No,No,Knowledge & Skills
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new,"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting.",Not Available,No,No,Knowledge & Skills
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.",Not Available,No,No,Ability & Aptitude | Personality & Behavior | Knowledge & Skills
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form,"This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.",Not Available,No,No,Ability & Aptitude | Personality & Behavior
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form,"The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.",Not Available,No,No,Ability & Aptitude | Personality & Behavior | Simulations
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new,Multi choice test that measures the candidate's basic understanding of Biology.,Not Available,No,No,Knowledge & Skills
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new,"The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer.",Not Available,No,No,Simulations | Knowledge & Skills
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new,"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing.",Not Available,No,No,Knowledge & Skills
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution,"The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.",Not Available,No,No,Personality & Behavior | Simulations | Ability & Aptitude
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new,"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism.",Not Available,No,No,Knowledge & Skills
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new,"Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.",Not Available,No,No,Knowledge & Skills
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new,"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.",Not Available,No,No,Knowledge & Skills
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form,"The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.",Not Available,No,No,Personality & Behavior | Simulations | Knowledge & Skills | Ability & Aptitude
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form,"This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.",Not Available,No,No,Ability & Aptitude | Personality & Behavior
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive,"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication.",Not Available,No,No,Knowledge & Skills
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications,"This test measures the candidate's knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive.",Not Available,No,No,Knowledge & Skills
C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new,"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory.",Not Available,No,No,Knowledge & Skills
C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039,"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading.",Not Available,No,No,Knowledge & Skills
C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122,Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,Not Available,No,No,Knowledge & Skills
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new,"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them.",Not Available,No,No,Knowledge & Skills
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution,"The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.",Not Available,No,No,Personality & Behavior | Ability & Aptitude
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new,"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.",Not Available,No,No,Knowledge & Skills
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new,"Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations.",Not Available,No,No,Knowledge & Skills
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new,"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring.",Not Available,No,No,Knowledge & Skills
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new,"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering.",Not Available,No,No,Knowledge & Skills
Claims/Operations Supervisor Solution,https://www.shl.com/products/product-catalog/view/claimsoperations-supervisor-solution,"The Claims/Operations Supervisor solution is for entry-level management positions that involve supervising hourly employees. Sample tasks for this job include, but are not limited to: planning and preapring work schedules; assigning employees to specific dutites; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor, Claims Supervisor, Operations Supervisor, and Customer Service Supervisor. Multiple configurations of this solution are available.",Not Available,No,No,Personality & Behavior | Simulations | Ability & Aptitude
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new,"Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds.",Not Available,No,No,Knowledge & Skills
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new,"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.",Not Available,No,No,Knowledge & Skills
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new,"Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.",Not Available,No,No,Knowledge & Skills
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new,Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.,Not Available,No,No,Simulations
Contact Center Customer Service + 8.0,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0,"The Contact Center + 8.0 - Customer Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles where the main focus is customer service. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service in entry-level contact center roles.",Not Available,No,No,Ability & Aptitude | Personality & Behavior | Competencies | Simulations
Contact Center Customer Service 8.0,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0-4269,The Customer Service 8.0 JFA is designed for entry-level positions in a contact center environment where the main focus is customer service.,Not Available,No,No,Simulations | Personality & Behavior | Competencies
Contact Center Manager - Short Form,https://www.shl.com/products/product-catalog/view/contact-center-manager-short-form,"The Contact Center - Manager solution is for mid to upper-level contact center managerial positions. Sample tasks for these jobs include, but are not limited to: supervising and coordinating the activities of subordinates; interacting day-to-day with subordinates; and training employees. Potential job titles that use this solution are: Contact Center Team Leader, First Line Supervisor, and Contact Center Manager.",Not Available,No,No,Ability & Aptitude | Personality & Behavior | Simulations
Contact Center Sales & Service + 8.0,https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0,"The Contact Center + 8.0 - Sales & Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles that involve sales-related behaviors such as recommending products or services and retaining customers. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service and drive sales in entry-level contact center roles.",Not Available,No,No,Personality & Behavior | Competencies | Ability & Aptitude | Simulations
Contact Center Sales & Service 8.0,https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0-4268,The Sales & Service 8.0 JFA is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers.,Not Available,No,No,Simulations | Personality & Behavior | Competencies
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/products/product-catalog/view/contact-center-team-leadcoach-short-form,"The Contact Center - Team Lead/Coach solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor.",Not Available,No,No,Ability & Aptitude | Personality & Behavior | Simulations
Contact Centre Agent Solution - UK,https://www.shl.com/products/product-catalog/view/contact-centre-agent-solution-uk,"This solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. The candidate answers multiple choice questions as well as questions in a customer call simulation environment. The solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. In addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness.",Not Available,No,No,Ability & Aptitude | Personality & Behavior | Simulations
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation,"This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response.",Not Available,No,No,Simulations
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency.",Not Available,No,No,Knowledge & Skills
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.",Not Available,No,No,Knowledge & Skills
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money,The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.,Not Available,No,No,Knowledge & Skills | Simulations
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new,Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,Not Available,No,No,Knowledge & Skills
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new,"Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.",Not Available,No,No,Knowledge & Skills
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation,"As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account details and process information; and type information quickly and accurately. Potential job titles that use this solution are: Call Center Representative, Contact Center Representative, Contact Center Agent, Customer Service Agent, Customer Service Representative, and Customer Advocate.
""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""",Not Available,No,No,Personality & Behavior | Simulations
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution,"As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles.
""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""",Not Available,No,No,Personality & Behavior | Simulations
Customer Service - Short Form,https://www.shl.com/products/product-catalog/view/customer-service-short-form,"The Customer Service Representative Solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent.",Not Available,No,No,Ability & Aptitude | Personality & Behavior
Customer Service - Short Form - UK,https://www.shl.com/products/product-catalog/view/customer-service-short-form-uk,"The Customer Service Representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent.",Not Available,No,No,Ability & Aptitude | Personality & Behavior
